SpecialtyId,Specialty,Number of Physicans,AVGSalary,Medicine Satisfaction,Income Satisfaction,Men,Woman,Specialty Satisfaction,Total Work Hours,Burned Out,Overweight,Exercise,HappiestAtWork,HappiestOutside
1,Allergy & Immunology,"4,628","$222,000.00 ",0.57,0.42,"2,953","1,675",0.48,45.52,0.49,0.41,0.62,0.3,0.61
2,Anesthesiology,"41,306","$360,000.00 ",0.59,0.55,"31,030","10,276",0.48,57.12,0.50,0.43,0.63,0.32,0.62
3,Cardiovascular Disease,"22,038","$410,000.00 ",0.58,0.48,"19,130","2,908",0.57,53.04,0.50,0.46,0.58,0.28,0.54
4,Critical Care Medicine,"10,143","$306,000.00 ",0.68,0.50,"7,555","2,588",0.46,61.79,0.55,0.42,0.58,0.25,0.5
5,Dermatology,"11,696","$381,000.00 ",0.53,0.66,"6,182","5,514",0.74,41.88,0.43,0.23,0.72,0.39,0.66
6,Emergency Medicine,"39,547","$322,000.00 ",0.66,0.60,"29,038","10,509",0.44,42.87,0.55,0.47,0.59,0.27,0.62
7,"Endocrinology, Diabetes & Metabolism","6,957","$206,000.00 ",0.60,0.43,"3,726","3,231",0.45,44.77,0.41,0.37,0.5,0.3,0.57
8,Family Medicine/General Practice,"111,127","$207,000.00 ",0.73,0.52,"68,442","42,685",0.29,48.54,0.54,0.49,0.63,0.59,0.28
9,Gastroenterology,"14,107","$380,000.00 ",0.61,0.48,"11,800","2,307",0.60,51.73,0.49,0.4,0.59,0.3,0.55
10,General Surgery,"25,233","$322,000.00 ",0.54,0.46,"20,398","4,835",0.51,54.81,0.51,0.45,0.57,0.32,0.61
12,HIV/Infectious Disease,"8,501","$222,000.00 ",0.69,0.52,"5,130","3,371",0.49,49.33,0.47,0.4,0.66,0.33,0.56
13,Internal Medicine,"113,871","$273,000.00 ",0.71,0.48,"71,920","41,951",0.25,50.62,0.54,0.43,0.57,0.24,0.53
14,Nephrology,"10,070","$241,000.00 ",0.62,0.44,"7,319","2,751",0.35,51.69,0.47,0.4,0.64,0.36,0.68
15,Neurology,"13,378","$277,000.00 ",0.65,0.47,"9,618","3,760",0.46,46.90,0.51,0.38,0.57,0.3,0.58
16,Ob/Gyn,"41,446","$329,000.00 ",0.65,0.46,"18,861","22,585",0.41,53.88,0.51,0.46,0.63,0.31,0.61
11,Oncology,"14,457","$215,000.00 ",0.68,0.55,"9,846","4,611",0.54,55.08,0.46,0.41,0.63,0.29,0.51
17,Ophthalmology,"18,584","$309,000.00 ",0.56,0.44,"14,148","4,436",0.55,47.02,0.41,0.28,0.68,0.38,0.63
18,Orthopedics,"19,142","$443,000.00 ",0.49,0.44,"18,191",951,0.65,52.67,0.47,0.46,0.69,0.32,0.63
19,Pathology,"13,277","$266,000.00 ",0.59,0.63,"8,408","4,869",0.52,50.03,0.45,0.38,0.64,0.32,0.59
20,Pediatrics,"57,491","$204,000.00 ",0.68,0.52,"21,918","35,573",0.46,43.00,0.53,0.41,0.58,0.3,0.64
21,Plastic Surgery,"7,017","$355,000.00 ",0.47,0.47,"5,967","1,050",0.58,47.98,0.45,0.35,0.62,0.29,0.58
22,Psychiatry,"37,717","$226,000.00 ",0.64,0.58,"23,382","14,335",0.52,42.94,0.40,0.35,0.43,0.37,0.63
23,Pulmonary Disease,"5,480","$281,000.00 ",0.69,0.47,"4,865",615,0.37,56.71,0.43,0.51,0.62,0.33,0.65
24,Radiology,"27,505","$375,000.00 ",0.49,0.58,"20,706","6,799",0.53,47.83,0.50,0.36,0.66,0.27,0.62
25,Rheumatology,"5,599","$234,000.00 ",0.70,0.44,"3,221","2,378",0.48,49.44,0.47,0.38,0.63,0.26,0.59
26,Urology,"9,804","$367,000.00 ",0.51,0.42,"9,024",780,0.56,53.62,0.55,0.43,0.61,0.27,0.61
