SpecialtyId,Specialty,Number of Physicans,AVGSalary,AVGBonus,Compensation Satisfaction,Men,Woman,Specialty Satisfaction,Total Work Hours,Weekly Work Hours w/ Patients,Weekly Work Hours on Paperwork,Happiest Outside of Work,Happiest Marriages,Burned Out
1,Allergy/Immunologist,4898,301000,0,0.56,2889,2009,0.84,45,32.3,12.7,0.59,0.58,0.38
2,Anesthesiology,42223,398000,57000,0.6,31275,10948,0.89,70,60,10,0.5,0.51,0.41
3,Cardiology,22502,438000,63000,0.61,19146,3356,0.92,55,38.1,16.9,0.51,0.53,0.44
4,Critical Care,13076,355000,41000,0.59,9568,3508,0.77,70,50.9,19.1,0.44,0.45,0.44
5,Dermatology,12505,411000,0,0.65,6133,6372,0.95,45,31.8,13.2,0.56,0.58,0.36
6,Emergency Medicine,45169,357000,40000,0.67,32382,12787,0.8,45,32.2,12.8,0.53,0.51,0.43
7,Endocrinology,7982,236000,0,0.49,3890,4092,0.8,70,53.5,16.5,0.49,0.6,0.46
8,Family Medicine,118022,234000,24000,0.54,69329,48693,0.7,50,34.1,15.9,0.5,0.51,0.46
9,Gastroenterology,15450,419000,63000,0.52,12534,2916,0.91,50,35.7,14.3,0.49,0.58,0.36
10,General Surgery,25544,364000,41000,0.58,19915,5629,0.84,70,54.2,15.8,0.6,0.56,0.35
11,HIV/Infectious Disease,9673,246000,0,0.51,5609,4064,0.85,45,26.5,18.5,0.52,0.58,0.45
12,Internal Medicine,119961,251000,27000,0.52,73560,46401,0.66,50,31.5,18.5,0.48,0.53,0.44
13,Nephrology,11394,306000,50000,0.44,8098,3296,0.69,45,28.3,16.7,0.51,0.61,0.49
14,Neurology,14132,280000,35000,0.53,9769,4363,0.86,45,28.1,16.9,0.44,0.51,0.5
15,Ob/Gyn,42683,308000,44000,0.51,17523,25160,0.76,50,35.7,14.3,0.54,0.51,0.46
16,Oncology,16255,377000,0,0.67,10673,5582,0.96,50,33.3,16.7,0.51,0.58,0.42
17,Ophthalmology,19302,378000,91000,0.54,14156,5146,0.95,45,35.2,9.8,0.58,0.54,0.3
18,Orthopedics,19064,511000,96000,0.6,17965,1099,0.97,50,36.3,13.7,0.58,0.59,0.34
19,Pathology,12634,318000,46000,0.62,7774,4860,0.8,45,30,15,0.5,0.55,0.36
20,Pediatrics,60565,232000,31000,0.53,21642,38923,0.83,50,35.3,14.7,0.57,0.55,0.41
21,Plastic Surgery,7314,479000,0,0.55,6053,1261,0.94,70,55.8,14.2,0.55,0.55,0.37
22,Psychiatry,38770,268000,26000,0.66,23199,15571,0.89,45,29.1,15.9,0.51,0.48,0.35
23,Pulmonary Medicine,5105,342000,0,0.5,4478,627,0.75,45,29.4,15.6,0.49,0.56,0.41
24,Radiology,28008,427000,77000,0.67,20595,7413,0.93,45,32.7,12.3,0.51,0.51,0.46
25,Rheumatology,6252,262000,0,0.55,3360,2892,0.81,45,30,15,0.6,0.51,0.46
26,Urology,10197,417000,64000,0.49,9226,971,0.89,50,34.9,15.1,0.58,0.57,0.54
